Codi_Barri,Nom_Barri,Nom_Districte,poblacio_total,poblacio_65_mes,poblacio_menys_5,pct_65_mes,pct_menys_5,Renda_Bruta_Mediana,pct_vulnerable_fisiologic,renda_percentil,edat_percentil,index_vulnerabilitat
73,la Verneda i la Pau,Sant Martí,30877,7667,894,24.83,2.9,44319.0,27.729999999999997,0.2602739726027397,0.9178082191780822,0.8287671232876712
49,Canyelles,Nou Barris,6889,2136,174,31.01,2.53,47373.0,33.54,0.3561643835616438,1.0,0.821917808219178
48,la Guineueta,Nou Barris,15587,4110,426,26.37,2.73,47504.0,29.1,0.3698630136986301,0.9452054794520548,0.7876712328767124
44,Vilapicina i la Torre Llobeta,Nou Barris,26343,6526,744,24.77,2.82,49818.0,27.59,0.410958904109589,0.9041095890410958,0.7465753424657534
52,la Prosperitat,Nou Barris,28076,6397,821,22.78,2.92,41040.0,25.700000000000003,0.2054794520547945,0.684931506849315,0.7397260273972603
72,Sant Martí de Provençals,Sant Martí,26927,6484,713,24.08,2.65,45990.0,26.729999999999997,0.3424657534246575,0.8082191780821918,0.7328767123287672
47,Can Peguera,Nou Barris,2046,443,50,21.65,2.44,31137.5,24.09,0.0136986301369863,0.4657534246575342,0.726027397260274
61,la Sagrera,Sant Andreu,31144,7630,939,24.5,3.02,52505.5,27.52,0.4794520547945205,0.8767123287671232,0.6986301369863014
41,la Vall d'Hebron,Horta-Guinardó,6071,1756,159,28.92,2.62,55720.0,31.540000000000003,0.6438356164383562,0.9863013698630136,0.6712328767123288
17,Sants - Badal,Sants-Montjuïc,25201,5801,727,23.02,2.88,50561.5,25.9,0.4383561643835616,0.7397260273972602,0.6506849315068493
37,el Carmel,Horta-Guinardó,33717,6909,1051,20.49,3.12,39384.0,23.61,0.1917808219178082,0.4520547945205479,0.6301369863013698
33,el Baix Guinardó,Horta-Guinardó,26224,6442,775,24.57,2.96,56468.0,27.53,0.6575342465753424,0.8904109589041096,0.6164383561643836
63,Navas,Sant Andreu,22581,5456,634,24.16,2.81,55030.0,26.97,0.6027397260273972,0.8356164383561644,0.6164383561643836
60,Sant Andreu,Sant Andreu,59199,14416,1794,24.35,3.03,55437.0,27.380000000000003,0.6301369863013698,0.863013698630137,0.6164383561643836
13,la Marina de Port,Sants-Montjuïc,31693,6695,998,21.12,3.15,44815.0,24.27,0.273972602739726,0.5068493150684932,0.6164383561643836
14,la Font de la Guatlla,Sants-Montjuïc,10859,2541,277,23.4,2.55,53790.0,25.95,0.5342465753424658,0.7534246575342466,0.6095890410958904
39,Sant Genís dels Agudells,Horta-Guinardó,7882,1716,264,21.77,3.35,48391.0,25.12,0.3835616438356164,0.589041095890411,0.6027397260273972
53,la Trinitat Nova,Nou Barris,8102,1348,313,16.64,3.86,35093.0,20.5,0.0547945205479452,0.2465753424657534,0.595890410958904
55,Ciutat Meridiana,Nou Barris,11483,1770,517,15.41,4.5,33695.5,19.91,0.0273972602739726,0.2054794520547945,0.589041095890411
40,Montbau,Horta-Guinardó,5339,1177,153,22.05,2.87,49337.0,24.92,0.3972602739726027,0.5753424657534246,0.5890410958904109
20,la Maternitat i Sant Ramon,Les Corts,24565,6621,778,26.95,3.17,65571.0,30.119999999999997,0.7808219178082192,0.958904109589041,0.5890410958904109
51,Verdun,Nou Barris,13475,2593,408,19.24,3.03,36994.0,22.27,0.136986301369863,0.3013698630136986,0.5821917808219178
50,les Roquetes,Nou Barris,17554,2915,693,16.61,3.95,36168.5,20.56,0.0958904109589041,0.2602739726027397,0.5821917808219178
64,el Camp de l'Arpa del Clot,Sant Martí,39469,9014,1125,22.84,2.85,53614.0,25.69,0.5205479452054794,0.6712328767123288,0.5753424657534247
38,la Teixonera,Horta-Guinardó,12703,2585,397,20.35,3.13,45191.5,23.48,0.3013698630136986,0.4383561643835616,0.5684931506849316
