Codi_Barri,Nom_Barri,poblacio_total,n_refugis_brut,n_refugis_filtrat,taxa_brut,taxa_filtrat,caiguda_absoluta,caiguda_pct,index_vulnerabilitat
1,el Raval,50449,15,5,0.2973299768082618,0.0991099922694206,0.19821998453884118,66.7,0.452054794520548
2,el Barri Gòtic,27059,9,2,0.33260652647917516,0.0739125614398167,0.2586939650393585,77.8,0.3493150684931507
3,la Barceloneta,14471,11,6,0.7601409715983691,0.414622348144565,0.34551862345380413,45.5,0.452054794520548
4,"Sant Pere, Santa Caterina i la Ribera",22859,10,4,0.437464456012949,0.1749857824051796,0.2624786736077694,60.0,0.410958904109589
5,el Fort Pienc,37617,7,4,0.18608607810298536,0.1063349017731345,0.07975117632985086,42.9,0.2808219178082192
6,la Sagrada Família,53136,7,3,0.13173742848539596,0.056458897922312554,0.07527853056308341,57.1,0.4589041095890411
7,la Dreta de l'Eixample,45089,18,6,0.39921045044245823,0.13307015014748608,0.26614030029497215,66.7,0.26027397260273977
8,l'Antiga Esquerra de l'Eixample,42726,6,0,0.14042971492767872,0.0,0.14042971492767872,100.0,0.3013698630136986
9,la Nova Esquerra de l'Eixample,58979,16,7,0.2712829990335543,0.11868631207718001,0.1525966869563743,56.2,0.5136986301369864
10,Sant Antoni,38878,15,7,0.3858223159627553,0.1800504141159525,0.2057719018468028,53.3,0.3904109589041096
11,el Poble-sec,40021,19,11,0.4747507558531771,0.27485570075710253,0.19989505509607458,42.1,0.4178082191780822
12,la Marina del Prat Vermell,3118,2,2,0.6414368184733803,0.6414368184733803,0.0,0.0,0.40410958904109584
13,la Marina de Port,31693,12,4,0.3786325056006058,0.12621083520020193,0.25242167040040386,66.7,0.6164383561643836
14,la Font de la Guatlla,10859,2,2,0.18417902200939315,0.18417902200939315,0.0,0.0,0.6095890410958904
15,Hostafrancs,16973,5,2,0.2945855181759265,0.11783420727037058,0.1767513109055559,60.0,0.45890410958904104
16,la Bordeta,21111,4,1,0.1894746814456918,0.04736867036142295,0.14210601108426885,75.0,0.5273972602739726
17,Sants - Badal,25201,3,1,0.1190428951232094,0.0396809650410698,0.0793619300821396,66.7,0.6506849315068493
18,Sants,46507,13,6,0.2795278130173952,0.12901283677725933,0.15051497624013588,53.8,0.363013698630137
19,les Corts,46417,12,4,0.2585259710881789,0.08617532369605962,0.17235064739211925,66.7,0.5547945205479452
20,la Maternitat i Sant Ramon,24565,9,8,0.3663749236718909,0.3256665988194586,0.04070832485243231,11.1,0.5890410958904109
21,Pedralbes,12380,4,3,0.32310177705977383,0.24232633279483035,0.08077544426494349,25.0,0.3664383561643836
22,"Vallvidrera, el Tibidabo i les Planes",4741,2,1,0.42185192997257964,0.21092596498628982,0.21092596498628982,50.0,0.11643835616438358
23,Sarrià,24749,8,5,0.3232453836518647,0.20202836478241543,0.1212170188694493,37.5,0.363013698630137
24,les Tres Torres,16274,2,1,0.12289541600098315,0.061447708000491576,0.061447708000491576,50.0,0.3938356164383562
25,Sant Gervasi - la Bonanova,26693,5,3,0.18731502641141873,0.11238901584685124,0.07492601056456749,40.0,0.363013698630137
26,Sant Gervasi - Galvany,49038,9,6,0.18353113911660346,0.1223540927444023,0.06117704637220116,33.3,0.410958904109589
27,el Putxet i el Farró,30747,6,2,0.19514098936481608,0.0650469964549387,0.1300939929098774,66.7,0.3698630136986301
28,Vallcarca i els Penitents,16781,8,5,0.4767296347059174,0.29795602169119834,0.17877361301471906,37.5,0.3493150684931507
29,el Coll,8027,3,2,0.3737386321166064,0.24915908807773765,0.12457954403886876,33.3,0.4246575342465754
30,la Salut,13913,7,2,0.5031265722705384,0.14375044922015381,0.3593761230503846,71.4,0.5136986301369864
31,la Vila de Gràcia,51127,9,4,0.17603223345785982,0.07823654820349327,0.09779568525436655,55.6,0.2945205479452055
32,el Camp d'en Grassot i Gràcia Nova,36369,9,2,0.24746349913387775,0.05499188869641728,0.19247161043746047,77.8,0.5273972602739726
33,el Baix Guinardó,26224,4,2,0.1525320317266626,0.0762660158633313,0.0762660158633313,50.0,0.6164383561643836
34,Can Baró,9626,1,1,0.10388531061707874,0.10388531061707874,0.0,0.0,0.5684931506849316
35,el Guinardó,39060,5,3,0.12800819252432155,0.07680491551459294,0.05120327700972861,40.0,0.4863013698630137
36,la Font d'en Fargues,9774,3,1,0.3069367710251688,0.10231225700838961,0.2046245140167792,66.7,0.5616438356164384
37,el Carmel,33717,8,4,0.23726903342527508,0.11863451671263754,0.11863451671263754,50.0,0.6301369863013698
38,la Teixonera,12703,2,1,0.15744312367157365,0.07872156183578682,0.07872156183578682,50.0,0.5684931506849316
39,Sant Genís dels Agudells,7882,2,0,0.2537427048972342,0.0,0.2537427048972342,100.0,0.6027397260273972
40,Montbau,5339,5,3,0.9365049634763064,0.5619029780857839,0.3746019853905225,40.0,0.5890410958904109
41,la Vall d'Hebron,6071,7,1,1.1530225662987976,0.1647175094712568,0.9883050568275409,85.7,0.6712328767123288
42,la Clota,944,1,0,1.0593220338983051,0.0,1.0593220338983051,100.0,0.21917808219178084
43,Horta,31066,11,3,0.35408485160625763,0.09656859589261571,0.2575162557136419,72.7,0.5547945205479452
44,Vilapicina i la Torre Llobeta,26343,8,2,0.3036859886876969,0.07592149717192423,0.2277644915157727,75.0,0.7465753424657534
45,Porta,31139,9,2,0.289026622563345,0.06422813834741,0.224798484215935,77.8,0.5136986301369862
