Nom,Indicador Refugi,Latitud,Longitud,Accessibilitat,Aigua potable,Climatització,Àrea Descans,Lavabos,Adreça,Tipologia Refugi,Origen Identificador,Última Actualització,Categoria,Gratuït,Accés Lliure,Equipament_unic
Bib. Barceloneta-La Fraternitat,080193|BIB_BARCELONETA_LA_FRATERNITAT,41.37923,2.188872,Sí,Sí,Sí,Sí,Sí,"C. Felícia Fuster i Viladecans, 8-10",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Bon Pastor - Josefina Castellví,080193|BIB_BON_PASTOR_JOSEFINA_CASTELLVI,41.4352,2.204677,Sí,Sí,Sí,Sí,Sí,"C. Estadella, 64",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Camp de l'Arpa - Caterina Albert,080193|BIB_CAMP_DE_L_ARPA_CATERINA_ALBERT,41.4158,2.182298,Sí,Sí,Sí,Sí,Sí,"C. Indústria, 295",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Canyelles - M. Àngels Rivas,080193|BIB_CANYELLES_M_ANGELS_RIVAS,41.4438,2.16434,Sí,Sí,Sí,Sí,Sí,"Rda. de La Guineueta Vella, 34",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Clarà,080193|BIB_CLARA,41.39994,2.129474,Sí,Sí,Sí,Sí,Sí,"C. Doctor Carulla, 22-24",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Collserola - Josep Miracle,080193|BIB_COLLSEROLA_JOSEP_MIRACLE,41.41539,2.102547,Sí,Sí,Sí,Sí,Sí,"C. Elisa Moragas i Badia, 16-34",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. El Carmel - Juan Marsé,080193|BIB_EL_CARMEL_JUAN_MARSE,41.42103,2.155116,Sí,Sí,Sí,Sí,Sí,"C. Murtra, 135-145",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. El Clot - Josep Benet,080193|BIB_EL_CLOT_JOSEP_BENET,41.4026,2.18805,Sí,Sí,Sí,Sí,Sí,"Pl. de les Glòries Catalanes, 37-38",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Esquerra de l'Eixample - Agustí Centelles,080193|BIB_ESQUERRA_DE_L_EIXAMPLE_AGUSTI_CENTELLES,41.3869,2.15205,Sí,Sí,Sí,Sí,Sí,"C. Comte d’Urgell, 145-147",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Fort Pienc - Ana María Moix,080193|BIB_FORT_PIENC_ANA_MARIA_MOIX,41.39559,2.182465,Sí,Sí,Sí,Sí,Sí,"Pl. del Fort Pienc, 4-5",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
Bib. Francesc Candel,080193|BIB_FRANCESC_CANDEL,41.36181,2.136295,Sí,Sí,Sí,Sí,Sí,"C. Amnistia Internacional, 10",Biblioteques,Ajuntament de Barcelona,2026-06-23 15:23:00,Biblioteca,Sí,Sí,True
