"Nom","Indicador Refugi","Municipi","Codi Municipi","Latitud","Longitud","Accessibilitat","Aigua potable","Climatització","Àrea Descans","Lavabos","Adreça","Informació web","Tipologia Refugi","Origen Identificador","Última Actualització"
"Bib. Barceloneta-La Fraternitat","080193|BIB_BARCELONETA_LA_FRATERNITAT","Barcelona","080193","4,137,923","2,188,872","Sí","Sí","Sí","Sí","Sí","C. Felícia Fuster i Viladecans, 8-10","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/1138134103","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Bon Pastor - Josefina Castellví","080193|BIB_BON_PASTOR_JOSEFINA_CASTELLVI","Barcelona","080193","414,352","2,204,677","Sí","Sí","Sí","Sí","Sí","C. Estadella, 64","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400098833","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Camp de l'Arpa - Caterina Albert","080193|BIB_CAMP_DE_L_ARPA_CATERINA_ALBERT","Barcelona","080193","414,158","2,182,298","Sí","Sí","Sí","Sí","Sí","C. Indústria, 295","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400299968","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Canyelles - M. Àngels Rivas","080193|BIB_CANYELLES_M_ANGELS_RIVAS","Barcelona","080193","414,438","216,434","Sí","Sí","Sí","Sí","Sí","Rda. de La Guineueta Vella, 34","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086005760","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Clarà","080193|BIB_CLARA","Barcelona","080193","4,139,994","2,129,474","Sí","Sí","Sí","Sí","Sí","C. Doctor Carulla, 22-24","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99329122806","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Collserola - Josep Miracle","080193|BIB_COLLSEROLA_JOSEP_MIRACLE","Barcelona","080193","4,141,539","2,102,547","Sí","Sí","Sí","Sí","Sí","C. Elisa Moragas i Badia, 16-34","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400010089","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. El Carmel - Juan Marsé","080193|BIB_EL_CARMEL_JUAN_MARSE","Barcelona","080193","4,142,103","2,155,116","Sí","Sí","Sí","Sí","Sí","C. Murtra, 135-145","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400061992","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. El Clot - Josep Benet","080193|BIB_EL_CLOT_JOSEP_BENET","Barcelona","080193","414,026","218,805","Sí","Sí","Sí","Sí","Sí","Pl. de les Glòries Catalanes, 37-38","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400329623","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Esquerra de l'Eixample - Agustí Centelles","080193|BIB_ESQUERRA_DE_L_EIXAMPLE_AGUSTI_CENTELLES","Barcelona","080193","413,869","215,205","Sí","Sí","Sí","Sí","Sí","C. Comte d’Urgell, 145-147","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400270325","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Fort Pienc - Ana María Moix","080193|BIB_FORT_PIENC_ANA_MARIA_MOIX","Barcelona","080193","4,139,559","2,182,465","Sí","Sí","Sí","Sí","Sí","Pl. del Fort Pienc, 4-5","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400037765","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Francesc Candel","080193|BIB_FRANCESC_CANDEL","Barcelona","080193","4,136,181","2,136,295","Sí","Sí","Sí","Sí","Sí","C. Amnistia Internacional, 10","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086021426","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Francesca Bonnemaison","080193|BIB_FRANCESCA_BONNEMAISON","Barcelona","080193","4,138,649","2,176,176","Sí","Sí","Sí","Sí","Sí","C. Sant Pere més Baix, 7","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086001171","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Gòtic - Andreu Nin","080193|BIB_GOTIC_ANDREU_NIN","Barcelona","080193","4,137,849","2,176,065","Sí","Sí","Sí","Sí","Sí","C. La Rambla, 30-32","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400243881","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Guinardó - Mercè Rodoreda","080193|BIB_GUINARDO_MERCE_RODOREDA","Barcelona","080193","4,141,289","2,162,447","Sí","Sí","Sí","Sí","Sí","C. Camèlies, 76-80","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99083114355","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Horta - Can Mariner","080193|BIB_HORTA_CAN_MARINER","Barcelona","080193","4,143,114","2,160,751","Sí","Sí","Sí","Sí","Sí","C. Vent, 1","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400196643","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Ignasi Iglésias - Can Fabra","080193|BIB_IGNASI_IGLESIAS_CAN_FABRA","Barcelona","080193","4,143,397","2,191,338","Sí","Sí","Sí","Sí","Sí","C. Segre, 24-32","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400019598","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Joan Miró","080193|BIB_JOAN_MIRO","Barcelona","080193","4,137,885","2,149,248","Sí","Sí","Sí","Sí","Sí","Parc Joan Miró / Vilamarí, 61","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92168151705","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. La Sagrera - Marina Clotet","080193|BIB_LA_SAGRERA_MARINA_CLOTET","Barcelona","080193","4,142,591","2,193,781","Sí","Sí","Sí","Sí","Sí","C. Josep Soldevila, 9","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400227877","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Les Roquetes - Rafa Juncadella","080193|BIB_LES_ROQUETES_RAFA_JUNCADELLA","Barcelona","080193","414,454","2,177,121","Sí","Sí","Sí","Sí","Sí","Via Favència, 288 B","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086010318","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Montbau - Albert Pérez Baró","080193|BIB_MONTBAU_ALBERT_PEREZ_BARO","Barcelona","080193","4,142,918","214,197","Sí","Sí","Sí","Sí","Sí","C. Arquitectura, 8","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/94286172503","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Montserrat Abelló","080193|BIB_MONTSERRAT_ABELLO","Barcelona","080193","4,138,371","2,135,285","Sí","Sí","Sí","Sí","Sí","C. Comtes de Bell-lloc, 192-200","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086002115","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Nou Barris - Aurora Díaz Plaja","080193|BIB_NOU_BARRIS_AURORA_DIAZ_PLAJA","Barcelona","080193","4,143,684","217,123","Sí","Sí","Sí","Sí","Sí","Pl. Major de Nou Barris, 2","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/97135114148","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Poblenou - Manuel Arranz","080193|BIB_POBLENOU_MANUEL_ARRANZ","Barcelona","080193","414,014","2,204,543","Sí","Sí","Sí","Sí","Sí","C. Joncar, 35","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400224356","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Poble Sec - Francesc Boix","080193|BIB_POBLE_SEC_FRANCESC_BOIX","Barcelona","080193","4,137,395","2,164,043","Sí","Sí","Sí","Sí","Sí","C. Blai, 34","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/1242142943","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Ramon d'Alòs - Moner","080193|BIB_RAMON_D_ALOS_MONER","Barcelona","080193","4,141,635","22,115","Sí","Sí","Sí","Sí","Sí","Rbla. de Prim, 87-89 (Centre Cívic)","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086001838","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Sant Antoni - Joan Oliver","080193|BIB_SANT_ANTONI_JOAN_OLIVER","Barcelona","080193","4,137,741","2,162,796","Sí","Sí","Sí","Sí","Sí","C. Comte Borrell,44-46","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400188956","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Sant Gervasi - Joan Maragall","080193|BIB_SANT_GERVASI_JOAN_MARAGALL","Barcelona","080193","4,140,596","2,135,993","Sí","Sí","Sí","Sí","Sí","C. Sant Gervasi de Cassoles, 85","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400342694","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Sant Pau - Santa Creu","080193|BIB_SANT_PAU_SANTA_CREU","Barcelona","080193","4,138,049","2,170,353","Sí","Sí","Sí","Sí","Sí","C. Carme, 47 / Hospital, 56","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086000482","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Sofia Barat","080193|BIB_SOFIA_BARAT","Barcelona","080193","4,139,471","2,171,522","Sí","Sí","Sí","Sí","Sí","C. Girona, 64-68 (interior d'illa)","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086004289","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Vallcarca i els Penitents - M. Antonieta Cot","080193|BIB_VALLCARCA_I_ELS_PENITENTS_M_ANTONIETA_COT","Barcelona","080193","4,142,004","2,139,675","Sí","Sí","Sí","Sí","Sí","Pg. de la Vall d'Hebron, 65-69","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400273433","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Vapor Vell","080193|BIB_VAPOR_VELL","Barcelona","080193","4,137,693","2,134,752","Sí","Sí","Sí","Sí","Sí","Ptge. Vapor Vell, s/n","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/249121118","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Vila de Gràcia - Rosa M. Arquimbau","080193|BIB_VILA_DE_GRACIA_ROSA_M_ARQUIMBAU","Barcelona","080193","414,015","2,158,232","Sí","Sí","Sí","Sí","Sí","C. Torrent de l’Olla, 104","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/2123115923","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Vilapicina i la Torre Llobeta - Carmen Laforet","080193|BIB_VILAPICINA_I_LA_TORRE_LLOBETA_CARMEN_LAFORET","Barcelona","080193","4,142,703","2,175,994","Sí","Sí","Sí","Sí","Sí","Pl. de Carmen Laforet, 11","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99021111627","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Zona Nord - Mària Sánchez","080193|BIB_ZONA_NORD_MARIA_SANCHEZ","Barcelona","080193","4,146,127","2,179,893","Sí","Sí","Sí","Sí","Sí","C. Vallcivera, 3 bis","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400236720","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Bib. Les Corts - Miquel Llongueras","080193|BIB_LES_CORTS_MIQUEL_LLONGUERAS","Barcelona","080193","4,137,801","2,121,843","Sí","Sí","Sí","Sí","Sí","Trav. de Les Corts, 58","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/284153819","Biblioteques","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Can Cuyàs","080193|CEM_CAN_CUYAS","Barcelona","080193","4,145,992","2,168,133","Sí","Sí","No (aire lliure)","Sí","Sí","Av. Rasos de Peguera","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086037277","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Can Felipa","080193|CEM_CAN_FELIPA","Barcelona","080193","4,140,405","2,201,405","Sí","Sí","Sí","Sí","Sí","Pl. Josep M. Huertas Claveria, 1","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92168153135","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Can Ricart","080193|CEM_CAN_RICART","Barcelona","080193","4,137,753","2,170,761","Sí","Sí","Sí","Sí","No","C. Sant Oleguer, 10","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086038230","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Can Toda","080193|CEM_CAN_TODA","Barcelona","080193","4,141,538","2,158,172","Sí","Sí","Sí","Sí","Sí","Ctra. dEl Carmel, 5","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086003375","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM El Carmel","080193|CEM_EL_CARMEL","Barcelona","080193","4,142,321","2,158,577","Sí","Sí","Sí","Sí","Sí","C. Pedrell","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92132091748","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Les Corts","080193|CEM_LES_CORTS","Barcelona","080193","4,138,541","2,133,598","Sí","Sí","Sí","Sí","Sí","Trav. de Les Corts, 252-254","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99186122857","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Mundet","080193|CEM_MUNDET","Barcelona","080193","4,143,576","2,147,158","Sí","Sí","Sí","Sí","Sí","C. Olympe de Gouges, s/n","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400110854","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Perill","080193|CEM_PERILL","Barcelona","080193","4,139,943","2,161,522","Sí","Sí","Sí","Sí","Sí","C. Perill","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92168175469","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Piscines Picornell","080193|CEM_PISCINES_PICORNELL","Barcelona","080193","4,136,601","2,151,086","Sí","Sí","Sí","Sí","Sí","Av. de l'Estadi, 30","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92168175397","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Putxet","080193|CEM_PUTXET","Barcelona","080193","4,140,973","2,141,296","Sí","Sí","Sí","Sí","Sí","C. Marmellà, 23","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400247031","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Sagrada Família","080193|CEM_SAGRADA_FAMILIA","Barcelona","080193","4,140,729","217,932","Sí","Sí","Sí","Sí","Sí","C. Cartagena, 231-239","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/75990492186","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Vintró","080193|CEM_VINTRO","Barcelona","080193","4,140,669","2,186,298","Sí","Sí","Sí","Sí","Sí","C. Consell de Cent, 623-627","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/93050115049","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CEM Trinitat Vella","080193|CEM_TRINITAT_VELLA","Barcelona","080193","4,145,124","2,193,849","Sí","Sí","No","Sí","No","Via Bàrcino, 84","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92168175394","Complexos esportius","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CUESB","080193|CUESB","Barcelona","080193","4,139,898","2,201,438","Sí","Sí","Sí","Sí","Sí","C. Llacuna, 25","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086031399","Altres","Ajuntament de Barcelona","23/06/2026 15:23:00"
"El Centre de la Platja","080193|EL_CENTRE_DE_LA_PLATJA","Barcelona","080193","4,138,309","2,194,477","Sí","Sí","Sí","Sí","Sí","Platja Somorrostro. Sota Porxos Passeig marítim. Front Hospital del Mar","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400147294","Equipaments Ambientals","Ajuntament de Barcelona","23/06/2026 15:23:00"
"La Fàbrica del Sol","080193|LA_FABRICA_DEL_SOL","Barcelona","080193","4,138,219","2,191,758","Sí","Sí","Sí","Sí","Sí","Pg. Salvat Papasseit s/n","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99117135915","Equipaments Ambientals","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Casal de barri Raval","080193|CASAL_DE_BARRI_RAVAL","Barcelona","080193","4,137,694","2,167,179","Sí","Sí","Sí","Sí","Sí","C. Reina Amàlia, 31","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400271344","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CC Besós i Maresme","080193|CC_BESOS_I_MARESME","Barcelona","080193","4,141,635","2,211,497","Sí","Sí","Sí","Sí","Sí","Rbla. de Prim, 87-89","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/93316140842","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"Casal de barri Congrés Indians","080193|CASAL_DE_BARRI_CONGRES_INDIANS","Barcelona","080193","4,142,399","2,179,412","Sí","Sí","Sí","Sí","Sí","C. Manigua 25-35","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086034049","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CC Carmel","080193|CC_CARMEL","Barcelona","080193","4,142,029","2,151,204","Sí",,"Sí","Sí","Sí","C. Santuari, 27","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086031534","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CC Cotxeres de Sants","080193|CC_COTXERES_DE_SANTS","Barcelona","080193","413,753","2,136,897","Sí (excepte lavabos)","Sí","Sí","Sí","Sí","C. Sants, 79","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/92086002380","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CC El Sortidor","080193|CC_EL_SORTIDOR","Barcelona","080193","413,721","2,162,548","Sí","Sí","Sí","Sí","Sí","Pl. del Sortidor, 12","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99120120846","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
"CC Vil.la Urània","080193|CC_VIL_LA_URANIA","Barcelona","080193","4,140,151","214,989","Sí","Sí","Sí","Sí","Sí","C. Saragossa, 29","https://www.barcelona.cat/barcelona-pel-clima/ca/projectes-i-accions/accions-concretes/xarxa-de-refugis-climatics/llistat-refugis/99400179932","Equipaments de proximitat","Ajuntament de Barcelona","23/06/2026 15:23:00"
