Codi_Barri,Nom_Barri,Nom_Districte,n_seccions,Renda_Bruta_Mediana
1,el Raval,Ciutat Vella,21,38052.0
2,el Barri Gòtic,Ciutat Vella,9,45629.0
3,la Barceloneta,Ciutat Vella,11,41427.0
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,13,43808.0
5,el Fort Pienc,L'Eixample,20,65241.5
6,la Sagrada Família,L'Eixample,34,57828.0
7,la Dreta de l'Eixample,L'Eixample,29,86306.0
8,l'Antiga Esquerra de l'Eixample,L'Eixample,26,76914.5
9,la Nova Esquerra de l'Eixample,L'Eixample,40,65594.0
10,Sant Antoni,L'Eixample,24,59887.0
11,el Poble Sec,Sants-Montjuïc,24,45342.5
12,la Marina del Prat Vermell,Sants-Montjuïc,1,42100.0
13,la Marina de Port,Sants-Montjuïc,17,44815.0
14,la Font de la Guatlla,Sants-Montjuïc,7,53790.0
15,Hostafrancs,Sants-Montjuïc,10,51145.5
16,la Bordeta,Sants-Montjuïc,13,54713.0
17,Sants-Badal,Sants-Montjuïc,16,50561.5
18,Sants,Sants-Montjuïc,29,55116.0
19,les Corts,Les Corts,35,74849.0
20,la Maternitat i Sant Ramon,Les Corts,15,65571.0
21,Pedralbes,Les Corts,7,153137.0
22,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,3,118790.0
23,Sarrià,Sarrià-Sant Gervasi,16,110015.0
24,les Tres Torres,Sarrià-Sant Gervasi,11,153137.0
25,Sant Gervasi- la Bonanova,Sarrià-Sant Gervasi,18,136262.0
26,Sant Gervasi- Galvany,Sarrià-Sant Gervasi,31,112973.0
27,el Putxet i el Farró,Sarrià-Sant Gervasi,19,79438.0
28,Vallcarca i els Penitents,Gràcia,11,74144.0
29,el Coll,Gràcia,5,53869.0
30,la Salut,Gràcia,10,66197.5
31,la Vila de Gràcia,Gràcia,36,57633.5
32,el Camp d'en Grassot i Gràcia Nova,Gràcia,25,63752.0
33,el Baix Guinardó,Horta-Guinardó,19,56468.0
34,Can Baró,Horta-Guinardó,7,50019.0
35,el Guinardó,Horta-Guinardó,25,53951.0
36,la Font d'en Fargues,Horta-Guinardó,7,65615.0
37,el Carmel,Horta-Guinardó,22,39384.0
38,la Teixonera,Horta-Guinardó,8,45191.5
39,Sant Genís dels Agudells,Horta-Guinardó,5,48391.0
40,Montbau,Horta-Guinardó,4,49337.0
41,la Vall d'Hebron,Horta-Guinardó,4,55720.0
42,la Clota,Horta-Guinardó,1,54643.0
43,Horta,Horta-Guinardó,21,52798.0
44,Vilapicina i la Torre Llobeta,Nou Barris,19,49818.0
45,Porta,Nou Barris,18,44933.5
46,el Turó de la Peira,Nou Barris,10,38579.5
47,Can Peguera,Nou Barris,2,31137.5
48,la Guineueta,Nou Barris,11,47504.0
49,Canyelles,Nou Barris,5,47373.0
50,les Roquetes,Nou Barris,10,36168.5
51,Verdun,Nou Barris,8,36994.0
52,la Prosperitat,Nou Barris,20,41040.0
53,la Trinitat Nova,Nou Barris,5,35093.0
54,Torre Baró,Nou Barris,2,36906.5
55,Ciutat Meridiana,Nou Barris,6,33695.5
56,Vallbona,Nou Barris,1,36506.0
57,la Trinitat Vella,Sant Andreu,5,35425.0
58,Baró de Viver,Sant Andreu,2,34248.0
59,el Bon Pastor,Sant Andreu,7,38085.0
60,Sant Andreu,Sant Andreu,39,55437.0
61,la Sagrera,Sant Andreu,20,52505.5
62,el Congrés i els Indians,Sant Andreu,9,53457.0
63,Navas,Sant Andreu,13,55030.0
64,el Camp de l'Arpa del Clot,Sant Martí,25,53614.0
65,el Clot,Sant Martí,17,56748.0
66,el Parc i la Llacuna del Poblenou,Sant Martí,9,60669.0
67,la Vila Olímpica del Poblenou,Sant Martí,5,101736.0
68,el Poblenou,Sant Martí,20,63913.0
69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,7,70467.0
70,el Besòs i el Maresme,Sant Martí,13,35306.0
71,Provençals del Poblenou,Sant Martí,12,51924.0
72,Sant Martí de Provençals,Sant Martí,18,45990.0
73,la Verneda i la Pau,Sant Martí,21,44319.0
