ranking_vulnerabilitat,Codi_Barri,Nom_Barri,pct_vulnerable_fisiologic,Renda_Bruta_Mediana,index_vulnerabilitat
1,73,la Verneda i la Pau,27.729999999999997,44319.0,0.8287671232876712
2,49,Canyelles,33.54,47373.0,0.821917808219178
3,48,la Guineueta,29.1,47504.0,0.7876712328767124
4,44,Vilapicina i la Torre Llobeta,27.59,49818.0,0.7465753424657534
5,52,la Prosperitat,25.700000000000003,41040.0,0.7397260273972603
6,72,Sant Martí de Provençals,26.729999999999997,45990.0,0.7328767123287672
7,47,Can Peguera,24.09,31137.5,0.726027397260274
8,61,la Sagrera,27.52,52505.5,0.6986301369863014
9,41,la Vall d'Hebron,31.540000000000003,55720.0,0.6712328767123288
10,17,Sants - Badal,25.9,50561.5,0.6506849315068493
11,37,el Carmel,23.61,39384.0,0.6301369863013698
12,33,el Baix Guinardó,27.53,56468.0,0.6164383561643836
13,63,Navas,26.97,55030.0,0.6164383561643836
14,60,Sant Andreu,27.380000000000003,55437.0,0.6164383561643836
15,13,la Marina de Port,24.27,44815.0,0.6164383561643836
16,14,la Font de la Guatlla,25.95,53790.0,0.6095890410958904
17,39,Sant Genís dels Agudells,25.12,48391.0,0.6027397260273972
18,53,la Trinitat Nova,20.5,35093.0,0.595890410958904
19,55,Ciutat Meridiana,19.91,33695.5,0.589041095890411
20,40,Montbau,24.92,49337.0,0.5890410958904109
21,20,la Maternitat i Sant Ramon,30.119999999999997,65571.0,0.5890410958904109
22,51,Verdun,22.27,36994.0,0.5821917808219178
23,50,les Roquetes,20.56,36168.5,0.5821917808219178
24,64,el Camp de l'Arpa del Clot,25.69,53614.0,0.5753424657534247
25,38,la Teixonera,23.48,45191.5,0.5684931506849316
26,58,Baró de Viver,19.52,34248.0,0.5684931506849316
27,34,Can Baró,24.82,50019.0,0.5684931506849316
28,36,la Font d'en Fargues,27.77,65615.0,0.5616438356164384
29,46,el Turó de la Peira,21.36,38579.5,0.5547945205479452
30,43,Horta,25.16,52798.0,0.5547945205479452
31,19,les Corts,30.810000000000002,74849.0,0.5547945205479452
32,57,la Trinitat Vella,19.47,35425.0,0.5410958904109588
33,70,el Besòs i el Maresme,18.44,35306.0,0.5342465753424657
34,32,el Camp d'en Grassot i Gràcia Nova,26.66,63752.0,0.5273972602739726
35,16,la Bordeta,25.59,54713.0,0.5273972602739726
36,65,el Clot,25.86,56748.0,0.5205479452054794
37,9,la Nova Esquerra de l'Eixample,26.830000000000002,65594.0,0.5136986301369864
38,30,la Salut,27.26,66197.5,0.5136986301369864
39,45,Porta,22.3,44933.5,0.5136986301369862
40,62,el Congrés i els Indians,24.349999999999998,53457.0,0.5068493150684932
41,56,Vallbona,17.84,36506.0,0.4931506849315068
42,35,el Guinardó,24.77,53951.0,0.4863013698630137
43,54,Torre Baró,16.939999999999998,36906.5,0.4794520547945205
44,59,el Bon Pastor,17.93,38085.0,0.4726027397260274
45,6,la Sagrada Família,25.25,57828.0,0.4589041095890411
46,15,Hostafrancs,22.92,51145.5,0.45890410958904104
47,3,la Barceloneta,18.03,41427.0,0.452054794520548
48,1,el Raval,14.02,38052.0,0.452054794520548
49,71,Provençals del Poblenou,22.669999999999998,51924.0,0.4452054794520548
50,29,el Coll,23.11,53869.0,0.4246575342465754
51,11,el Poble-sec,19.189999999999998,45342.5,0.4178082191780822
52,4,"Sant Pere, Santa Caterina i la Ribera",15.01,43808.0,0.410958904109589
53,26,Sant Gervasi - Galvany,26.0,112973.0,0.410958904109589
54,12,la Marina del Prat Vermell,13.79,42100.0,0.40410958904109584
55,24,les Tres Torres,26.009999999999998,153137.0,0.3938356164383562
56,10,Sant Antoni,24.25,59887.0,0.3904109589041096
57,27,el Putxet i el Farró,25.349999999999998,79438.0,0.3698630136986301
58,21,Pedralbes,25.88,153137.0,0.3664383561643836
59,18,Sants,22.37,55116.0,0.363013698630137
60,25,Sant Gervasi - la Bonanova,25.740000000000002,136262.0,0.363013698630137
61,23,Sarrià,25.689999999999998,110015.0,0.363013698630137
62,28,Vallcarca i els Penitents,24.78,74144.0,0.3493150684931507
63,2,el Barri Gòtic,10.07,45629.0,0.3493150684931507
64,66,el Parc i la Llacuna del Poblenou,22.93,60669.0,0.3287671232876712
65,8,l'Antiga Esquerra de l'Eixample,24.169999999999998,76914.5,0.3013698630136986
66,31,la Vila de Gràcia,21.240000000000002,57633.5,0.2945205479452055
67,5,el Fort Pienc,22.36,65241.5,0.2808219178082192
68,7,la Dreta de l'Eixample,23.38,86306.0,0.26027397260273977
69,67,la Vila Olímpica del Poblenou,23.349999999999998,101736.0,0.2465753424657534
70,68,el Poblenou,20.24,63913.0,0.2363013698630137
71,42,la Clota,7.199999999999999,54643.0,0.21917808219178084
72,69,Diagonal Mar i el Front Marítim del Poblenou,20.24,70467.0,0.1952054794520548
73,22,"Vallvidrera, el Tibidabo i les Planes",19.56,118790.0,0.11643835616438358
