Codi_Barri,Nom_Barri,index_vulnerabilitat,cobertura_relativa_pct,situacio
73,la Verneda i la Pau,0.8287671232876712,14.6,Crític: molt vulnerable + poca cobertura
49,Canyelles,0.821917808219178,,Sense dades (població < 10.000)
48,la Guineueta,0.7876712328767124,43.4,Vulnerable però ben cobert
44,Vilapicina i la Torre Llobeta,0.7465753424657534,17.1,Crític: molt vulnerable + poca cobertura
52,la Prosperitat,0.7397260273972603,40.2,Vulnerable però ben cobert
72,Sant Martí de Provençals,0.7328767123287672,33.5,Vulnerable però ben cobert
47,Can Peguera,0.726027397260274,,Sense dades (població < 10.000)
61,la Sagrera,0.6986301369863014,29.0,Vulnerable però ben cobert
41,la Vall d'Hebron,0.6712328767123288,,Sense dades (població < 10.000)
17,Sants - Badal,0.6506849315068493,9.0,Crític: molt vulnerable + poca cobertura
37,el Carmel,0.6301369863013698,26.8,Vulnerable però ben cobert
33,el Baix Guinardó,0.6164383561643836,17.2,Crític: molt vulnerable + poca cobertura
63,Navas,0.6164383561643836,10.0,Crític: molt vulnerable + poca cobertura
60,Sant Andreu,0.6164383561643836,19.1,Crític: molt vulnerable + poca cobertura
13,la Marina de Port,0.6164383561643836,28.5,Vulnerable però ben cobert
14,la Font de la Guatlla,0.6095890410958904,41.6,Vulnerable però ben cobert
39,Sant Genís dels Agudells,0.6027397260273972,,Sense dades (població < 10.000)
53,la Trinitat Nova,0.595890410958904,,Sense dades (població < 10.000)
55,Ciutat Meridiana,0.589041095890411,19.7,Crític: molt vulnerable + poca cobertura
40,Montbau,0.5890410958904109,,Sense dades (població < 10.000)
20,la Maternitat i Sant Ramon,0.5890410958904109,73.5,Vulnerable però ben cobert
51,Verdun,0.5821917808219178,50.2,Vulnerable però ben cobert
50,les Roquetes,0.5821917808219178,25.7,Vulnerable però ben cobert
64,el Camp de l'Arpa del Clot,0.5753424657534247,17.2,Crític: molt vulnerable + poca cobertura
38,la Teixonera,0.5684931506849316,17.8,Crític: molt vulnerable + poca cobertura
58,Baró de Viver,0.5684931506849316,,Sense dades (població < 10.000)
34,Can Baró,0.5684931506849316,,Sense dades (població < 10.000)
36,la Font d'en Fargues,0.5616438356164384,,Sense dades (població < 10.000)
46,el Turó de la Peira,0.5547945205479452,26.0,Vulnerable però ben cobert
43,Horta,0.5547945205479452,21.8,Crític: molt vulnerable + poca cobertura
19,les Corts,0.5547945205479452,19.4,Crític: molt vulnerable + poca cobertura
57,la Trinitat Vella,0.5410958904109588,100.0,Vulnerable però ben cobert
70,el Besòs i el Maresme,0.5342465753424657,44.3,Vulnerable però ben cobert
32,el Camp d'en Grassot i Gràcia Nova,0.5273972602739726,12.4,Crític: molt vulnerable + poca cobertura
16,la Bordeta,0.5273972602739726,10.7,Crític: molt vulnerable + poca cobertura
65,el Clot,0.5205479452054794,8.4,Crític: molt vulnerable + poca cobertura
9,la Nova Esquerra de l'Eixample,0.5136986301369864,26.8,Vulnerable però ben cobert
30,la Salut,0.5136986301369864,32.4,Vulnerable però ben cobert
45,Porta,0.5136986301369862,14.5,Baixa prioritat: poc vulnerable + poca cobertura
62,el Congrés i els Indians,0.5068493150684932,44.5,Favorable: poc vulnerable + bona cobertura
56,Vallbona,0.4931506849315068,,Sense dades (població < 10.000)
35,el Guinardó,0.4863013698630137,17.3,Baixa prioritat: poc vulnerable + poca cobertura
54,Torre Baró,0.4794520547945205,,Sense dades (població < 10.000)
59,el Bon Pastor,0.4726027397260274,42.8,Favorable: poc vulnerable + bona cobertura
6,la Sagrada Família,0.4589041095890411,12.7,Baixa prioritat: poc vulnerable + poca cobertura
15,Hostafrancs,0.458904109589041,26.6,Favorable: poc vulnerable + bona cobertura
3,la Barceloneta,0.452054794520548,93.6,Favorable: poc vulnerable + bona cobertura
1,el Raval,0.452054794520548,22.4,Baixa prioritat: poc vulnerable + poca cobertura
71,Provençals del Poblenou,0.4452054794520548,10.3,Baixa prioritat: poc vulnerable + poca cobertura
29,el Coll,0.4246575342465754,,Sense dades (població < 10.000)
11,el Poble-sec,0.4178082191780822,62.0,Favorable: poc vulnerable + bona cobertura
4,"Sant Pere, Santa Caterina i la Ribera",0.410958904109589,39.5,Favorable: poc vulnerable + bona cobertura
26,Sant Gervasi - Galvany,0.410958904109589,27.6,Favorable: poc vulnerable + bona cobertura
12,la Marina del Prat Vermell,0.4041095890410958,,Sense dades (població < 10.000)
24,les Tres Torres,0.3938356164383562,13.9,Baixa prioritat: poc vulnerable + poca cobertura
10,Sant Antoni,0.3904109589041096,40.6,Favorable: poc vulnerable + bona cobertura
27,el Putxet i el Farró,0.3698630136986301,14.7,Baixa prioritat: poc vulnerable + poca cobertura
21,Pedralbes,0.3664383561643836,54.7,Favorable: poc vulnerable + bona cobertura
18,Sants,0.363013698630137,29.1,Favorable: poc vulnerable + bona cobertura
25,Sant Gervasi - la Bonanova,0.363013698630137,25.4,Baixa prioritat: poc vulnerable + poca cobertura
23,Sarrià,0.363013698630137,45.6,Favorable: poc vulnerable + bona cobertura
28,Vallcarca i els Penitents,0.3493150684931507,67.2,Favorable: poc vulnerable + bona cobertura
2,el Barri Gòtic,0.3493150684931507,16.7,Baixa prioritat: poc vulnerable + poca cobertura
66,el Parc i la Llacuna del Poblenou,0.3287671232876712,51.3,Favorable: poc vulnerable + bona cobertura
8,l'Antiga Esquerra de l'Eixample,0.3013698630136986,0.0,Baixa prioritat: poc vulnerable + poca cobertura
31,la Vila de Gràcia,0.2945205479452055,17.7,Baixa prioritat: poc vulnerable + poca cobertura
5,el Fort Pienc,0.2808219178082192,24.0,Baixa prioritat: poc vulnerable + poca cobertura
7,la Dreta de l'Eixample,0.2602739726027397,30.0,Favorable: poc vulnerable + bona cobertura
67,la Vila Olímpica del Poblenou,0.2465753424657534,,Sense dades (població < 10.000)
68,el Poblenou,0.2363013698630137,19.5,Baixa prioritat: poc vulnerable + poca cobertura
42,la Clota,0.2191780821917808,,Sense dades (població < 10.000)
69,Diagonal Mar i el Front Marítim del Poblenou,0.1952054794520548,16.5,Baixa prioritat: poc vulnerable + poca cobertura
22,"Vallvidrera, el Tibidabo i les Planes",0.1164383561643835,,Sense dades (població < 10.000)
